text,pattern_type,trigger_keyword,is_dark_pattern,source_url,platform
›View or edit your browsing history,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Apple ProductsiPhoneiPadApple WatchAirPodsMacBookMac DesktopsApple TViPod touchAccessoriesBeats by Dr. Dre,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Make Money with Us,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sell,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
More,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Manufacturer‎AppleItem model number‎MYD92HN/AProduct Dimensions‎34.1 x 24.8 x 7.4 cm; 2.44 kgASIN‎B08N5WRWNW,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
2 people found this helpful,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returning Global Store Items,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Battery life is lessthan they say Only 10 to 12 hrs.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Consistent Power Beast for prolonged period,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Processor,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Amazon Science,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Amazon Global Selling,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""Good Product. Still exploring technically. Minor shock while charging. Amazing Sound quality. Love the Bass effect. Great Picture Clarity....""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returns& Orders,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""...Anyway, overall, a Mac is a Mac, and it is anexcellent product.""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
", faster than many MAC models....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Vehicle and Outdoor category toys are eligible for free replacement, within 7 days of delivery, in an unlikely event of damaged, defective or different/wrong item delivered to you",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Placeholder,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Wind instruments and items marked as non-returnable on detail page are not eligible for return.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
See more reviews,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Your transaction is secure,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
100% Purchase Protection,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Excellent battery life.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"ENHello, sign inAccount & ListsReturns& Orders0Cart",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""...This is avery expensive laptopand Apple must provide a free 3 pin adapter to avoid earthing issues.""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""Screen is goodSounds is very good Battery life great.""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Get to Know Us,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
2 star,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
More details,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
TopAbout this itemFrom the BrandFrom the AuthorSimilarProduct informationQuestionsReviews,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
11.97 inches (30.41 cm),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
. Still exploring technically. Minor shock while charging. Amazing Sound quality. Love the Bass effect. Great Picture Clarity....,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Editing 8k videos HDR content in final cut pro. Butter smooth editing experience even in best quality mode.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
360° VIEW,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Read more,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
What is in the box?,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Full content visible, double tap to read brief content.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Please keep the item in its original condition, original packaging, with user manual, warranty cards, and original accessories in manufacturer packaging for a successful return pick-up.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Fashion,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Beauty & Personal Care,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
I think its just,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Apple-designed M1 chip for a giant leap in CPU, GPU, and machine learning performance",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13-inch MacBook Pro, 61W USB-C Power Adapter, USB-C Charge Cable (2 m)",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
AudibleDownloadAudio Books,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sending feedback...,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Great product,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Model Name,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Performance in editing:,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
...The pros of this machine: 1.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Weight,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sorry we couldn't load the reviewTry again,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
waste of money,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Apple 2020 MacBook Pro (13.3-inch/33.78 cm, M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 512GB SSD) - Space Grey",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"This item is eligible for free replacement, within 10 days of delivery, in an unlikely event of damaged, defective or different/wrong item delivered to you.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
...Super agile with mobility and weight.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""Thebest laptopanyone can get in the market""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13 customers mention value for money, 7 positive, 6 negative",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Amazon Web ServicesScalable CloudComputing Services,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
The return timelines for seller-fulfilled items sold on Amazon.in are equivalent to the return timelines mentioned above for items fulfilled by Amazon.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"You can ask for a replacement or refund if you receive a damaged, defective or incorrect product.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Visit the Apple Store,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
8 negative,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Good Product. Still exploring technically. Minor shock while charging. Amazing Sound quality. Love the Bass effect. Great Picture Clarity....,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Top reviews from India,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Report,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"You can return if you receive a damaged, defective or incorrect product.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Careers,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Verified Purchase,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Currently unavailable.We don't know when or if this item will be back in stock.Delivering to Mumbai 400104 - Update location,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
83%10%3%0%4%83%,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Comparison with other laptops:,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
MoreHide,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"...Great product, faster than many MAC models.Front camera though looks blurry in medium/low lightand that is a total disappointment when you are...",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Additional Information,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Quality(52)Performance(42)Battery life(30)Screen quality(13)Value for money(13),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
(52),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Performance(42),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Reviews,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5.0 out of 5 stars,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Customers have mixed opinions about the MacBook Pro's value for money, with some considering it a best investment while others find it expensive.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
One amazing product,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
shift+alt+C,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Graphics Card Description,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Jewelry, Watches and Eyewear",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
performance,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Final conclusion:,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
______,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Read less,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
49 positive,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Fresh,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Top Brand indicates high quality, trusted brands on Amazon aggregated basis verified ratings, returns/refunds and recent order history at brand level.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"›View or edit your browsing historyAfter viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
8GB of unified memory so everything you do is fast and fluid,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Customer Service,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
AirPods,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Only render time suffers during exporting HDR 4k video file.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Computers,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Overall product is fine though, if not for Amazon sucky price match policy. Disappointed with Amazon though on this part.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Gold Coins / Gold Vedhanis / Gold Chips / Gold BarsNot Returnable,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
4.64.6 out of 5 stars(865),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"For TV, we may schedule a technician visit to your location and resolution will be provided based on the technician's evaluation report.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"HelpfulSending feedback...Thank you for your feedback.Sorry, we failed to record your vote. Please try again",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
1 Year Warranty1 Year,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sounds is very good Battery life great.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 star4 star3 star2 star1 star1 star83%10%3%0%4%4%,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
iPhone,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
3.0 pounds (1.4 kg),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"-touch pad works well, doesn't affect your woek style",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
There was a problem filtering reviews. Please reload the page.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Currently unavailable.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Reviews with imagesSee all photosPrevious slideNext slide,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Amazon MusicStream millions of songs,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Sending feedback…,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 stars. I've been an apple customer for decades. This macbook is awesome – perfect monitor size and light enough to travel with.Read moreRead less,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
865 global ratings,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Sorry, We failed to report this review. Please try again",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Bestsellers,social_proof,bestseller,1,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13 customers mention screen quality, 7 positive, 6 negative",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Searchalt+/,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Aman Sheel,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"...5. quick charging & magsafe port. 6.excellent screen, hdr at 1600 nits is quite something....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Quality(52),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
....,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
How are ratings calculated?,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
...then I highly recommend you switch to Apple Silicon because these arefaster....,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Sorry, there was a problem.There was an error retrieving your Wish Lists. Please try again.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Movies, Music and Video Games",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Return pickup facility is not available for these items. You can self return these products using any courier/ postal service of your choice. Learn moreabout shipping cost refunds.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""...4.speed, with all it's m1 max and shared fast ram, formidable. 5. quick charging & magsafe port. 6....""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 out of 5 stars,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Privacy Notice,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
So M1 chip is really making everything seems so fluid and fast.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Subscribe & Save,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"...-camera could have been better with 1080pbut you can't expect more with this price -touch pad works well, doesn't affect your woek style...",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Wonderful Product by Apple,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Top Brand,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Amazon Customer,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Customers praise the MacBook Pro's performance, noting it runs 5 times faster with no lags or drops, and has negligible boot time.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Skip to,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Returnable if you’ve received the product in a condition that is damaged, defective or different from its description on the product detail page on Amazon.in.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"""Excellent battery life.""Read more",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"52 customers mention quality, 49 positive, 3 negative52 customers mention ""Quality""49 positive3 negative",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Depth,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Image UnavailableImage not available forColour:2020 Apple MacBook Pro (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM,Amazon Videos",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Supply to Amazon,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"FaceTime HD camera with advanced image signal processor for clearer, sharper video calls",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Graphics and Video Support,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
New Apple MacBook Pro 13-inch with Apple M1 Chip,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Battery life is less,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
about shipping cost refunds,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
", hdr at 1600 nits is quite something....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Questions,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Beats by Dr. Dre,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
-battery is amazing,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"IMDbMovies, TV& Celebrities",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
View or edit your browsing history,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Lingerie, innerwear and apparel labeled as non-returnable on their product detail pages can't be returned.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returns Policy1 Year WarrantyTop BrandSecure transaction,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Show/Hide shortcutsshift+alt+Z,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Apple-branded hardware product and accessories contained in the original packaging (“Apple Product”) come with a One-Year Limited Warranty. See apple.com/in/legal/warranty for more information,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
faster,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Helpful,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Health, Household & Personal Care",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returns Centre,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Similar,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
24 positive,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Best Purchase Ever!,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
See more product details,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Screen guards, screen protectors and tempered glasses are non-returnable.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"but you can't expect more with this price -touch pad works well, doesn't affect your woek style...",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Technical Details,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Returning Products with Inspect & Buy label,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
💸. Its better for machine learning. Battery backup is also very good more than 20hrs .,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Added to,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
", nothing comes close to apple silicon. 2. macos, love it, hate it....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
anyone can get in the market,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Filtering customer reviews,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Special Feature,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
There was an error retrieving your Wish Lists. Please try again.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
iPad,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
About this item,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Display,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Precious jewellery items need to be returned in the tamper free packaging that is provided in the delivery parcel. Returns in any other packaging will not be accepted.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13 customers mention value for money, 7 positive, 6 negative13 customers mention ""Value for money""7 positive6 negative",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
New Releases,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
EnglishIndia,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Hello, sign inAccount & Lists",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Refunds will be issued only if it is determined that the item was not damaged while in your possession, or is not different from what was shipped to you.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
5 star4 star3 star2 star1 star3 star,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Grocery and GourmetNot Returnable,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Product summaryshift+alt+D,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Facebook,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
MacBook Pro m1 518gigs 8gb - its been a week,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Accessories,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Delivering to Mumbai 400104Update location,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
...Great audio Good camera Decent KeyboardGreat performance,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Customers have mixed opinions about the MacBook Pro's screen, with some finding it excellent while others note that the front camera appears blurry in medium to low light conditions.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Become an Affiliate,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
3 star,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Sports, Fitness and Outdoors",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Shoes30 Days ReturnableReturn the Shoes in the original condition with the brand box to avoid pickup cancellation. We will not process a refund if the pickup is cancelled owing to missing MRP tag.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
shift,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
4.6 out of 5 stars,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors, 16:10 aspect ratio",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"52 customers mention ""Quality""",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Warranty,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Overall, anyone looking to upgrade their experience to a whole new level, look no further!",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
512 GB,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
13 Inches,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
AmazonBasics,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
shift+alt+Z,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
THE SPEAKERS ROAR!! mind you this is a laptop after all.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Books, art& collectibles",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Shoes,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Close,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
3 negative,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Protect and Build Your Brand,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Kindle eBooks,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Prime,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Customers praise the MacBook Pro's quality, describing it as an amazing machine.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Width,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Reviews with imagesSee all photos,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Thank you for your feedbackClose,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
This laptop has spoiled me.,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
From the Author,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13-inch MacBook Pro, USB-C Charge Cable (2 m), 61W USB-C Power Adapter",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Customers say,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Cameras, Audio and Video",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
1 Year,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"This item is eligible for free replacement, within 7 days of delivery, in an unlikely event of damaged, defective or different item delivered to you.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"I bought a 512 GB / 8 GB MAC model (Space Grey) Macbook Pro M1.Great product, faster than many MAC models....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Charging and Expansion,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Reviewed in India on 5 April 2025,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
The best MacBook Pro to date,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"© 1996-2026, Amazon.com, Inc. or its affiliates",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Nov 2020,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Add to cart,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Wi-Fi 802.11ax Wi-Fi wireless networking; IEEE 802.11a/b/g/n/ac compatible, Bluetooth 5.0 wireless technology",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"...The pros of this machine: 1.battery life, nothing comes close to apple silicon. 2. macos, love it, hate it....",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Instagram,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
& battery backup is awesome . Worth the buy,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Main content,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
(865),,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Best investment ever,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
4.6 out of 5 stars4.6 out of 5,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"13 customers mention ""Value for money""",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Connect with UsFacebookTwitterInstagram,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Audible,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
Buying options,,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
"Used Mobiles, Tablets10 Days RefundRefunds applicable only if it has been determined that the item was not damaged while in your possession, or is not different from what was shipped to you.",,,0,https://www.amazon.in/dp/B08N5WRWNW,amazon
